episode,rating,votes
414.0,8.7,1997.0
415.0,8.9,2679.0
416.0,8.6,1916.0
417.0,8.5,1941.0
418.0,7.4,1053.0
419.0,6.9,1060.0
420.0,7.4,1032.0
421.0,7.5,1041.0
422.0,7.9,1096.0
423.0,7.9,1128.0
424.0,7.8,1063.0
425.0,7.7,1057.0
426.0,6.4,805.0
427.0,6.2,798.0
428.0,6.2,798.0
429.0,6.2,792.0
430.0,7.8,1057.0
431.0,7.6,1023.0
432.0,7.9,1130.0
433.0,8.0,1232.0
434.0,7.6,1080.0
435.0,8.1,1352.0
436.0,8.3,1480.0
437.0,8.1,1505.0
438.0,7.5,1076.0
439.0,7.2,1114.0
440.0,7.8,1145.0
441.0,7.9,1119.0
442.0,8.2,1168.0
443.0,8.2,1157.0
444.0,8.2,1225.0
445.0,7.7,1081.0
446.0,8.4,1452.0
447.0,9.0,3310.0
448.0,7.9,1291.0
449.0,8.2,1334.0
450.0,8.9,2684.0
451.0,9.3,4023.0
452.0,7.9,1199.0
453.0,7.0,1010.0
454.0,6.2,1079.0
455.0,7.0,992.0
456.0,7.0,1011.0
457.0,6.7,970.0
458.0,6.7,1078.0
459.0,9.2,3942.0
460.0,9.3,3873.0
461.0,9.3,4258.0
462.0,9.2,3671.0
463.0,9.3,3837.0
464.0,9.2,3622.0
465.0,9.4,4022.0
466.0,9.5,5055.0
467.0,9.4,4137.0
468.0,9.3,3719.0
469.0,9.1,3704.0
470.0,9.2,3674.0
471.0,9.2,3508.0
472.0,9.3,3822.0
473.0,9.2,3579.0
474.0,9.6,7305.0
475.0,9.3,3948.0
476.0,9.3,3685.0
477.0,9.2,3507.0
478.0,9.4,4425.0
479.0,9.3,3667.0
480.0,9.6,7348.0
481.0,9.7,8573.0
482.0,9.7,51454.0
483.0,9.7,59576.0
484.0,9.7,52865.0
485.0,9.8,58826.0
486.0,9.5,5684.0
487.0,9.3,4172.0
488.0,9.6,7674.0
489.0,9.6,7669.0
490.0,8.5,2392.0
491.0,8.7,2539.0
492.0,5.3,1109.0
493.0,8.3,2001.0
494.0,8.1,1698.0
495.0,7.9,1544.0
496.0,8.1,1735.0
497.0,7.9,1502.0
498.0,7.4,1307.0
499.0,7.4,1277.0
500.0,7.8,1384.0
501.0,7.9,1397.0
502.0,7.9,1426.0
503.0,9.0,2916.0
504.0,8.4,1680.0
505.0,9.2,3348.0
506.0,7.9,1413.0
507.0,7.9,1369.0
508.0,7.3,1109.0
509.0,7.6,1107.0
510.0,7.5,1096.0
511.0,8.3,1337.0
512.0,7.9,1248.0
513.0,7.4,1081.0
514.0,7.2,1065.0
515.0,7.8,1119.0
516.0,9.2,3289.0
517.0,9.2,3482.0
518.0,8.2,1550.0
519.0,7.9,1363.0
520.0,7.8,1249.0
521.0,9.2,3416.0
522.0,8.6,1939.0
523.0,7.9,1439.0
524.0,7.6,999.0
525.0,7.5,966.0
526.0,7.5,951.0
527.0,7.6,967.0
528.0,7.3,979.0
529.0,7.3,1144.0
530.0,7.3,955.0
531.0,7.1,949.0
532.0,7.2,960.0
533.0,7.3,937.0
534.0,7.5,931.0
535.0,7.2,931.0
536.0,7.7,964.0
537.0,7.7,953.0
538.0,7.6,928.0
539.0,7.6,940.0
540.0,7.7,959.0
541.0,8.3,1349.0
542.0,5.4,826.0
543.0,8.4,1455.0
544.0,7.6,957.0
545.0,7.3,970.0
546.0,8.0,1038.0
547.0,7.7,933.0
548.0,7.5,921.0
549.0,7.5,922.0
550.0,6.9,958.0
551.0,7.0,924.0
552.0,7.2,923.0
553.0,8.3,1293.0
554.0,9.0,2892.0
555.0,7.9,1032.0
556.0,7.6,936.0
557.0,7.6,915.0
558.0,7.3,913.0
559.0,7.1,912.0
560.0,7.3,921.0
561.0,7.3,910.0
562.0,7.1,920.0
563.0,6.9,952.0
564.0,7.2,920.0
565.0,7.7,1106.0
566.0,7.7,1048.0
567.0,7.7,1063.0
568.0,8.0,1238.0
569.0,7.5,1019.0
570.0,8.0,1103.0
571.0,8.0,1074.0
572.0,7.6,920.0
573.0,7.5,925.0
574.0,7.5,916.0
575.0,6.8,760.0
576.0,6.8,741.0
577.0,6.7,733.0
578.0,6.6,760.0
579.0,7.6,973.0
580.0,7.5,937.0
581.0,7.2,919.0
582.0,7.3,917.0
583.0,7.2,906.0
584.0,7.5,891.0
585.0,7.8,977.0
586.0,7.9,968.0
587.0,8.3,1157.0
588.0,7.9,931.0
589.0,7.4,878.0
590.0,5.6,906.0
591.0,7.4,888.0
592.0,7.2,875.0
593.0,7.7,878.0
594.0,7.9,941.0
595.0,7.5,872.0
596.0,7.4,866.0
597.0,8.0,915.0
598.0,7.6,868.0
599.0,7.7,881.0
600.0,7.2,881.0
601.0,7.2,868.0
602.0,7.3,868.0
603.0,7.9,891.0
604.0,7.6,861.0
605.0,7.4,885.0
606.0,7.5,867.0
607.0,8.1,958.0
608.0,7.7,886.0
609.0,7.7,877.0
610.0,7.4,877.0
611.0,7.4,869.0
612.0,7.6,979.0
613.0,8.9,2633.0
614.0,8.1,1119.0
615.0,7.9,1064.0
616.0,9.2,3005.0
617.0,8.2,1125.0
618.0,7.6,877.0
619.0,7.9,910.0
620.0,8.0,974.0
621.0,7.9,939.0
622.0,7.8,904.0
623.0,7.7,890.0
624.0,8.4,1475.0
625.0,8.1,1227.0
626.0,6.7,734.0
627.0,6.6,771.0
628.0,6.6,780.0
629.0,8.2,1344.0
630.0,7.8,1152.0
631.0,8.0,1216.0
632.0,7.7,1125.0
633.0,7.7,1101.0
634.0,7.9,1144.0
635.0,7.8,1141.0
636.0,7.8,1152.0
637.0,7.8,1103.0
638.0,8.0,1175.0
639.0,7.7,1091.0
640.0,7.4,951.0
641.0,7.5,992.0
642.0,8.4,1639.0
643.0,8.4,1661.0
644.0,7.9,1163.0
645.0,7.6,959.0
646.0,9.0,2830.0
647.0,7.7,970.0
648.0,7.6,945.0
649.0,8.4,1617.0
650.0,8.0,1169.0
651.0,8.1,1196.0
652.0,7.6,943.0
653.0,7.4,937.0
654.0,7.9,1120.0
655.0,8.5,1690.0
656.0,7.7,1072.0
657.0,7.6,930.0
658.0,7.9,1121.0
659.0,8.3,1363.0
660.0,8.3,1386.0
661.0,9.2,2844.0
662.0,9.2,2811.0
663.0,9.5,4721.0
664.0,7.6,965.0
665.0,7.5,929.0
666.0,7.7,1061.0
667.0,7.9,1137.0
668.0,7.8,1066.0
669.0,7.6,1051.0
670.0,8.0,1170.0
671.0,7.7,1049.0
672.0,7.9,1087.0
673.0,7.7,1033.0
674.0,8.0,1268.0
675.0,8.4,1608.0
676.0,8.7,1791.0
677.0,9.3,3513.0
678.0,9.4,3601.0
679.0,8.5,1754.0
680.0,8.7,1753.0
681.0,8.2,1270.0
