episodio,puntuacion,votos
818,9.2,266
819,9.2,275
820,8.8,292
821,8.8,225
822,8.8,245
823,8.6,240
824,9.0,294
825,9.4,465
826,9.0,309
827,8.8,269
828,8.8,272
829,9.0,246
830,8.8,354
831,9.0,273
832,9.4,316
833,9.6,365
834,9.0,280
835,9.0,291
836,8.8,257
837,8.8,277
838,9.0,233
839,9.2,181
840,9.0,203
841,9.0,185
842,9.2,176
843,8.8,165
844,9.0,170
845,9.0,195
846,8.8,181
847,8.8,179
848,8.6,185
849,9.4,341
850,9.0,415
851,9.0,283
852,9.0,260
853,8.8,233
854,8.6,234
855,8.8,244
856,9.2,341
857,9.0,259
858,8.8,254
859,8.4,215
860,8.8,273
861,8.8,227
862,9.2,306
863,8.8,241
864,9.2,240
865,9.0,227
866,8.8,230
867,8.6,262
868,9.4,349
869,9.2,301
870,9.6,653
871,9.0,366
872,9.0,275
873,9.0,266
874,8.8,252
875,8.8,300
876,9.0,282
877,9.4,551
878,8.4,412
879,8.6,326
880,8.8,348
881,6.8,278
882,7.6,250
883,8.0,241
884,8.0,257
885,8.2,279
886,8.8,246
887,8.2,255
888,8.8,283
889,8.0,322
890,8.6,340
891,9.0,452
892,9.6,820
893,9.2,395
894,9.4,400
895,7.4,283
896,7.4,238
897,9.2,343
898,8.2,327
899,9.0,327
900,8.6,761
901,8.4,382
902,8.2,352
903,8.0,342
904,7.4,331
905,8.6,348
906,8.6,300
907,8.0,319
908,8.8,301
909,9.0,344
910,8.8,385
911,9.0,312
912,9.0,372
913,9.0,365
914,9.0,529
915,9.0,505
916,9.2,437
917,9.0,411
918,8.6,296
919,9.0,315
920,8.4,351
921,8.2,327
922,8.8,320
923,8.8,298
924,8.8,306
925,9.2,399
926,8.8,306
927,8.6,288
928,8.8,324
929,8.6,292
930,8.2,401
931,8.6,289
932,8.8,311
933,9.0,310
934,9.2,395
935,9.0,374
936,9.0,313
937,9.0,284
938,9.0,291
939,8.8,289
940,9.4,454
941,9.0,384
942,9.0,325
943,9.0,305
944,8.8,302
945,9.0,359
946,8.6,317
947,8.6,282
948,8.6,290
949,9.0,339
950,9.0,513
951,9.0,308
952,9.0,350
953,8.8,301
954,8.8,312
955,9.2,311
956,9.2,444
957,9.8,939
958,9.4,491
959,9.0,380
960,8.8,461
961,9.2,394
962,9.2,380
963,9.4,416
964,9.4,390
965,9.4,557
966,9.4,466
967,9.4,520
968,9.8,908
969,9.4,463
970,8.8,474
971,9.0,388
972,9.6,502
973,9.0,405
974,9.4,565
975,9.2,469
976,9.2,445
977,9.4,541
978,9.4,688
979,8.8,396
980,9.2,562
981,9.0,460
982,9.8,1203
983,8.8,453
984,8.4,493
985,8.4,422
986,7.8,472
987,8.6,377
988,9.0,415
989,8.8,395
990,8.8,537
991,8.4,402
992,9.2,487
993,8.6,378
994,9.0,493
995,9.6,788
996,9.0,468
997,8.6,418
998,9.0,447
999,8.6,571
1000,9.0,3514
1001,8.8,826
1002,8.4,560
1003,8.6,537
1004,9.2,756
1005,8.6,598
1006,8.4,574
1007,8.0,538
1008,8.6,566
1009,8.2,493
1010,8.8,695
1011,8.6,542
1012,8.4,543
1013,9.0,643
1014,8.8,696
1015,9.6,4482
1016,8.8,889
1017,9.6,1489
1018,8.4,845
1019,8.4,692
1020,8.6,873
1021,8.6,640
1022,8.6,653
1023,8.4,649
1024,8.6,735
1025,8.8,985
1026,9.4,986
1027,9.0,836
1028,9.4,1551
1029,7.8,1149
1030,8.4,1649
1031,8.6,1791
1032,8.6,1579
1033,9.4,2128
1034,8.6,1460
1035,8.4,1725
1036,8.8,1370
1037,8.4,1181
1038,8.8,1273
1039,8.6,1111
1040,9.0,1441
1041,8.4,1078
1042,8.0,1093
1043,8.6,1081
1044,9.2,1347
1045,8.8,1504
1046,9.2,1417
1047,8.6,1129
1048,9.0,1257
1049,9.4,1556
1050,8.6,1497
1051,9.2,1422
1052,8.6,1157
1053,8.8,1388
1054,8.8,1176
1055,8.4,1196
1056,8.8,1197
1057,9.0,1161
1058,8.4,1040
1059,8.6,1029
1060,9.2,1458
1061,9.4,2199
1062,9.4,3310
1063,8.6,1187
1064,8.8,1175
1065,8.8,1230
1066,9.4,1637
1067,9.2,1327
1068,9.0,1195
1069,9.2,1744
1070,9.4,2725
1071,9.0,6868
1072,9.0,2985
1073,7.8,1884
1074,9.0,2307
1075,8.2,1827
1076,9.0,2051
1077,9.0,1404
1078,9.2,1487
1079,9.0,1214
1080,9.2,1475
1081,9.2,1338
1082,9.0,1212
1083,8.8,1052
1084,8.8,1033
1085,8.8,1300
1086,9.2,1170
1087,9.0,1055
1088,9.0,1451
1089,9.4,1933
1090,9.0,1270
1091,9.0,1065
1092,9.0,1116
1093,9.4,1195
1094,8.8,920
1095,8.8,923
1096,9.2,1060
1097,9.0,903
1098,8.8,825
1099,9.0,949
1100,9.4,2633
1101,9.0,1227
1102,8.8,929
1103,8.8,928
1104,9.0,921
1105,9.0,864
1106,8.8,828
1107,8.4,807
1108,8.6,891
1109,9.0,898
1110,8.6,884
1111,8.8,946
1112,9.6,1523
1113,8.8,879
1114,9.4,1109
1115,9.4,1130
1116,8.8,947
1117,8.6,835
1118,9.0,842
1119,9.2,864
1120,9.0,1063
1121,9.0,1017
1122,9.4,2827
1123,9.0,1144
1124,9.0,1072
1125,9.4,1112
1126,9.0,920
1127,9.2,974
1128,9.4,1101
1129,9.2,750
1130,9.4,928
1131,9.0,768
1132,9.2,745
1133,9.2,809
1134,9.2,747
1135,9.2,766
1136,9.6,2094
1137,9.4,1212
1138,8.2,845
1139,8.8,736
1140,8.8,979
1141,8.8,819
1142,9.0,732
1143,8.8,777
1144,9.4,1155
1145,8.8,987
1146,9.0,677
1147,8.6,642
1148,9.0,645
1149,9.2,692
1150,9.0,779
1151,9.4,835
1152,9.4,824
1153,9.6,940
1154,9.2,747
1155,9.4,2394
